number order,arabic market name ,name in E,gender,price for 1kg,perfume code,compny tag,seasons,description
#173,جاكوار,,رجالي,50,,EMSA,صيفي,جاكوار: ينطلق العطر بنغمات منعشة من برغموت كالابريا وإكليل الجبل، ويتجلى في جوهره مزيج من نوتات البحر والياسمين، يعطي شعوراً بالفخامة والتميز.
#174,"جياكومو ""محمود سعيد""",,للجنسين,44,,EMSA,صيفي وشتوي,"جياكومو ""محمود سعيد"": تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير العود والعنبر، يعطي شعوراً بالفخامة والتميز."
#175,جامبيت,,للجنسين,52,,EMSA,صيفي وشتوي,جامبيت: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#176,جذاب أخضر,,رجالي,54,,EMSA,صيفي وشتوي,جذاب أخضر: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#177,"جميل ""البصرة""",,للجنسين,85,,EMSA,صيفي وشتوي,"جميل ""البصرة"": يطل علينا العطر بافتتاحية من خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً."
#178,جنيفر لوبيز,,للجنسين,44,,EMSA,صيفي وشتوي,جنيفر لوبيز: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، يمنحك هالة من الثقة طوال اليوم.
#179,جوب احمر,,للجنسين,54,,EMSA,صيفي وشتوي,جوب احمر: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#180,جوب اصفر W,,للجنسين,42,,EMSA,صيفي وشتوي,جوب اصفر W: تبدأ التجربة العطرية بعبير الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#181,جوب جمب,,للجنسين,48,,EMSA,صيفي وشتوي,جوب جمب: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#182,جورجيو,,للجنسين,40,,EMSA,صيفي وشتوي,جورجيو: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#183,جيب شيروكي,,للجنسين,50,,EMSA,صيفي وشتوي,جيب شيروكي: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#184,جي جي,,للجنسين,52,,EMSA,صيفي وشتوي,جي جي: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#185,جيفنجي بلاي W,,للجنسين,52,,EMSA,صيفي وشتوي,جيفنجي بلاي W: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#186,جذاب W,,رجالي,54,,EMSA,صيفي وشتوي,جذاب W: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#187,جامبيون,,للجنسين,54,,EMSA,صيفي وشتوي,جامبيون: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، تاركا أثراً جذاباً لا ينسى.
#188,جيفنجي بورهوم,,للجنسين,54,,EMSA,صيفي وشتوي,جيفنجي بورهوم: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#189,حبيبتي,,نسائي,50,,EMSA,صيفي وشتوي,حبيبتي: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#190,حريم السلطان,,نسائي,52,,EMSA,صيفي وشتوي,حريم السلطان: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#191,خليجي,,للجنسين,80,,EMSA,صيفي وشتوي,خليجي: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#192,خوخ (مالي),,نسائي,28,,EMSA,صيفي وشتوي,خوخ (مالي): يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#193,خوخ (مبخرة),,نسائي,18,,EMSA,صيفي وشتوي,خوخ (مبخرة): ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#194,دارج,,للجنسين,80,,EMSA,صيفي وشتوي,دارج: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#195,در النجف,,للجنسين,36,,EMSA,صيفي وشتوي,در النجف: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#196,دراكار,,للجنسين,48,,EMSA,صيفي وشتوي,دراكار: يطل علينا العطر بافتتاحية من خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#197,دراكار نوار,,للجنسين,54,,EMSA,شتوي,دراكار نوار: يفتتح هذا العطر رحلته بنفحات خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#198,دزاير بلو,,للجنسين,46,,EMSA,صيفي,دزاير بلو: ينطلق العطر بنغمات منعشة من نسيم البحر وإكليل الجبل، ويتجلى في جوهره مزيج من التفاح الأخضر المنعش، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#199,D&G L3 دولجيكابانا,D&G L3,للجنسين,50,,EMSA,صيفي وشتوي,D&G L3 دولجيكابانا: ينطلق العطر بنغمات منعشة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#200,دعاء الجنة,,للجنسين,34,,EMSA,صيفي وشتوي,دعاء الجنة: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، تاركا أثراً جذاباً لا ينسى.
#201,دكني بي دليشز,,للجنسين,؟,,EMSA,صيفي وشتوي,دكني بي دليشز: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#202,دلع البنات,,للجنسين,54,,EMSA,صيفي وشتوي,دلع البنات: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#203,دنهل الماني,,رجالي,54,,EMSA,صيفي وشتوي,دنهل الماني: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#204,دنهل بورهوم,,رجالي,48,,EMSA,صيفي وشتوي,دنهل بورهوم: يطل علينا العطر بافتتاحية من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#205,دنهل بيرسيوت,,رجالي,50,,EMSA,صيفي وشتوي,دنهل بيرسيوت: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#206,دنهل دزاير اسباني,,رجالي,44,,EMSA,صيفي وشتوي,دنهل دزاير اسباني: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#207,دنهل دزاير فرنسي,,رجالي,48,,EMSA,صيفي وشتوي,دنهل دزاير فرنسي: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#208,دنهل دموي,,رجالي,44,,EMSA,صيفي وشتوي,دنهل دموي: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#209,دنهل فريش,,رجالي,52,,EMSA,صيفي وشتوي,دنهل فريش: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#210,دنهل كلاسيك,,رجالي,48,,EMSA,صيفي وشتوي,دنهل كلاسيك: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#211,ديفد بيكهام,,للجنسين,48,,EMSA,صيفي وشتوي,ديفد بيكهام: يفتتح هذا العطر رحلته بنفحات خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#212,داهيلا دفن جيفنجي,,للجنسين,48,,EMSA,صيفي وشتوي,داهيلا دفن جيفنجي: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، مع قلب يفوح برائحة العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#213,دارج نسائي,,نسائي,58,,EMSA,صيفي وشتوي,دارج نسائي: تأتي الرشة الأولى مزيجاً من الياسمين الأبيض وزهر البرتقال، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#214,درهم,,للجنسين,60,,EMSA,صيفي وشتوي,درهم: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#215,ديور هوم,,رجالي,55,,EMSA,صيفي وشتوي,ديور هوم: يطل علينا العطر بافتتاحية من خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#216,دوف (م),,للجنسين,18,,EMSA,صيفي وشتوي,دوف (م): تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#217,ذه اصفر,,للجنسين,52,,EMSA,صيفي وشتوي,ذه اصفر: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة العود والعنبر، تاركا أثراً جذاباً لا ينسى.
#218,ذه وان D&G,,للجنسين,46,,EMSA,صيفي وشتوي,ذه وان D&G: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#219,رازقي,,للجنسين,32,,EMSA,صيفي وشتوي,رازقي: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#220,راكان,,للجنسين,100,,EMSA,صيفي وشتوي,راكان: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#221,رامبا,,للجنسين,48,,EMSA,صيفي وشتوي,رامبا: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#222,ريجي ريجي,,للجنسين,46,,EMSA,صيفي وشتوي,ريجي ريجي: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#223,رشا,,للجنسين,44,,EMSA,صيفي وشتوي,رشا: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#224,رغبة,,للجنسين,58,,EMSA,صيفي وشتوي,رغبة: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#225,ريكسونا,,للجنسين,60,,EMSA,صيفي وشتوي,ريكسونا: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#226,رهيب,,للجنسين,70,,EMSA,صيفي وشتوي,رهيب: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#227,روز تالك,,للجنسين,26,,EMSA,صيفي وشتوي,روز تالك: يمتاز العطر ببداية فوارة من خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#228,روز سوفاج,,رجالي,24,,EMSA,صيفي وشتوي,روز سوفاج: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#229,روشار رجالي,,رجالي,54,,EMSA,صيفي وشتوي,روشار رجالي: يفتتح هذا العطر رحلته بنفحات الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#230,روما,,للجنسين,50,,EMSA,صيفي وشتوي,روما: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#231,رومانتك,,للجنسين,60,,EMSA,صيفي وشتوي,رومانتك: يفتتح هذا العطر رحلته بنفحات خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#232,رومانتس رالف لورين,,للجنسين,50,,EMSA,صيفي وشتوي,رومانتس رالف لورين: يطل علينا العطر بافتتاحية من خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ خشب الصندل والباتشولي، تاركا أثراً جذاباً لا ينسى.
#233,رومانتس رصاصي,,للجنسين,60,,EMSA,صيفي وشتوي,رومانتس رصاصي: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير التوابل الحارة والزعفران، تاركا أثراً جذاباً لا ينسى.
#234,رالف لورين,,للجنسين,48,,EMSA,صيفي وشتوي,رالف لورين: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#235,رويال FR,,للجنسين,70,,EMSA,صيفي وشتوي,رويال FR: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات الفانيليا والكاكاو، تاركا أثراً جذاباً لا ينسى.
#236,رويال رصاصي,,للجنسين,56,,EMSA,صيفي وشتوي,رويال رصاصي: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#237,ريال مدريد,,للجنسين,46,,EMSA,صيفي وشتوي,ريال مدريد: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، يمنحك هالة من الثقة طوال اليوم.
#238,ريف دور,,للجنسين,44,,EMSA,صيفي وشتوي,ريف دور: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#239,ريمي ماركوس W,,للجنسين,64,,EMSA,صيفي وشتوي,ريمي ماركوس W: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#240,ريمي ماركوس M,,للجنسين,58,,EMSA,صيفي وشتوي,ريمي ماركوس M: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#241,راش RUSH فكتوريا سكرت,RUSH ,نسائي,44,,EMSA,صيفي وشتوي,راش RUSH فكتوريا سكرت: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#242,رومانتك فكتوريا سكرت,,نسائي,؟,,EMSA,صيفي وشتوي,رومانتك فكتوريا سكرت: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#243,رومانتك (م),,للجنسين,40,,EMSA,صيفي وشتوي,رومانتك (م): تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#244,رويال بلو,,للجنسين,54,,EMSA,صيفي,رويال بلو: ينطلق العطر بنغمات منعشة من نسيم البحر وإكليل الجبل، ثم ينتقل بك إلى قلب عطري غني بـ الحمضيات الإيطالية، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#245,روز (م),,للجنسين,26,,EMSA,صيفي وشتوي,روز (م): تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#246,رجل الليل,,للجنسين,60,,EMSA,صيفي وشتوي,رجل الليل: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#247,روبرتو كافالي,,للجنسين,54,,EMSA,صيفي وشتوي,روبرتو كافالي: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات الفانيليا والكاكاو، يمنحك هالة من الثقة طوال اليوم.
#248,زارا وايت جاسمين,,للجنسين,50,,EMSA,صيفي وشتوي,زارا وايت جاسمين: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#249,زارا نسائي,,نسائي,54,,EMSA,صيفي وشتوي,زارا نسائي: تأتي الرشة الأولى مزيجاً من الورد التركي وبراعم اللوز، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#250,زهرة التوليب,,للجنسين,72,,EMSA,صيفي وشتوي,زهرة التوليب: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#251,زهرة الخليج,,للجنسين,54,,EMSA,صيفي وشتوي,زهرة الخليج: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، يمنحك هالة من الثقة طوال اليوم.
#252,زهرة العنبر,,للجنسين,50,,EMSA,شتوي,زهرة العنبر: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#253,زهرة منتصف الليل,,للجنسين,54,,EMSA,صيفي وشتوي,زهرة منتصف الليل: تبدأ التجربة العطرية بعبير الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#254,زهرة البنفسج,,للجنسين,40,,EMSA,صيفي وشتوي,زهرة البنفسج: يمتاز العطر ببداية فوارة من خشب الصندل والمسك الأبيض، مع قلب يفوح برائحة العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#255,زهرة الرومانس الخاصة,,للجنسين,110,,EMSA,صيفي وشتوي,زهرة الرومانس الخاصة: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#256,CH رجالي,,رجالي,46,,EMSA,صيفي وشتوي,CH رجالي: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#257,CK1,CK1,للجنسين,50,,EMSA,صيفي وشتوي,CK1: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، ليستقر في النهاية على قاعدة فاخرة.
#258,سلطان العطور,,رجالي,64,,EMSA,صيفي وشتوي,سلطان العطور: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#259,سلفر شادو,,للجنسين,50,,EMSA,صيفي وشتوي,سلفر شادو: يمتاز العطر ببداية فوارة من خشب الصندل والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#260,سندس,,للجنسين,60,,EMSA,صيفي وشتوي,سندس: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#261,سواردي باريس,,للجنسين,34,,EMSA,صيفي وشتوي,سواردي باريس: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#262,سيدة الانوثة,,نسائي,50,,EMSA,صيفي وشتوي,سيدة الانوثة: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#263,سينما,,نسائي,50,,EMSA,صيفي وشتوي,سينما: تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#264,سيكار,,للجنسين,52,,EMSA,صيفي وشتوي,سيكار: ينطلق العطر بنغمات منعشة من خشب الصندل والفانيليا الناعمة، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#265,سري للغاية,,للجنسين,60,,EMSA,صيفي وشتوي,سري للغاية: ينطلق العطر بنغمات منعشة من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#266,سكر بنات,,نسائي,42,,EMSA,صيفي وشتوي,سكر بنات: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#267,سوفاج,,رجالي,52,,EMSA,صيفي وشتوي,سوفاج: ينطلق العطر بنغمات منعشة من الباتشولي والفانيليا الناعمة، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#268,سامبا,,للجنسين,50,,EMSA,صيفي وشتوي,سامبا: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#269,سبلانديد,,للجنسين,54,,EMSA,صيفي وشتوي,سبلانديد: يفتتح هذا العطر رحلته بنفحات خشب الصندل والفانيليا الناعمة، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، يمنحك هالة من الثقة طوال اليوم.
#270,سترونك مان,,رجالي,52,,EMSA,صيفي وشتوي,سترونك مان: ينطلق العطر بنغمات منعشة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير التوابل الحارة والزعفران، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#271,"سكرت مان ""الرجل السري""",,رجالي,50,,EMSA,صيفي وشتوي,"سكرت مان ""الرجل السري"": تأتي الرشة الأولى مزيجاً من خشب الصندل والمسك الأبيض، ليأخذك في رحلة إلى نوتات خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة."
#272,سكسي كرافت,,للجنسين,42,,EMSA,صيفي وشتوي,سكسي كرافت: تأتي الرشة الأولى مزيجاً من الباتشولي والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#273,سكلبجر,,رجالي,48,,EMSA,صيفي وشتوي,سكلبجر: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#274,سلفر سنت,,للجنسين,56,,EMSA,صيفي وشتوي,سلفر سنت: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#275,سلفر ماونت,,للجنسين,60,,EMSA,صيفي وشتوي,سلفر ماونت: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ العود والعنبر، يعطي شعوراً بالفخامة والتميز.
#276,سليبنك بيبي,,للجنسين,32,,EMSA,صيفي وشتوي,سليبنك بيبي: يمتاز العطر ببداية فوارة من الباتشولي والفانيليا الناعمة، ليستقر في وسطه عبير العود والعنبر، تاركا أثراً جذاباً لا ينسى.
